File,Page,text
Advantages of mixed-age free play in elementary.pdf,1,"mixed-age free play in elementary school: perceptions of students, teachers, and parents,"
Advantages of mixed-age free play in elementary.pdf,2,"Advantages of mixed-age free play in elementary school: perceptions of students, teachers, and parents"
Advantages of mixed-age free play in elementary.pdf,2,"Mixed-age groups have been shown to be effective in classroom settings, but only a handful of studies have explored mixed-age grouping in play.  This research is a case study of one New York public elementary school that pl a c es  grea t  v a lue on recess and mixed-age groupings.  The school has implemented  Let Grow Play Club before school one day per week for students in kindergarten through  fi fth grade. We use child interviews, teacher interviews, and parent surveys to examine the perceptions of mixed-age, outdoor play provided in Play Club and the school more generally."
Advantages of mixed-age free play in elementary.pdf,2,"stakeholders expressed their support for cross-age interactions in mixed-age groupings. This play was perceived as valuable for helping build friendships and developing social skills, as older children become role models to younger ones. As suggested by Vygotsky ’ s ( 1978 ) theories, children are learning from one another and enhancing their development through unstructured play."
Advantages of mixed-age free play in elementary.pdf,2,"Most of us, and even most of our parents and grandparents, grew up in an age-segregated school system, which makes contemporary school systems seem natural and universal. Children are organized by ages into grades and proceed through a school system of sequential grade levels and curricula. According to Stone and Burriss ( 2019 ), age-segre- gation schooling is founded on a factory model and is a product of the Industrial Revolu- tion that has permeated the world for 200 years. Learning is seen as a sequence of discrete skills that became more complex from year to year, and children of the same age are assumed to be the same in terms of development and needs. Children, at least children in US public schools, typically go outside for recess breaks to play with same-age peers in the same class and often do not have opportunities at school to play with children from other grades."
Advantages of mixed-age free play in elementary.pdf,2,"Children need to cultivate a diverse set of skills and, as pointed out by Robinson ( 2015 ), increased standardization runs counter to the way children learn  –  through play. An estimated 65 percent of children entering grade school will end up working in jobs that do not exist yet and they will need crucial critical thinking skills to be better prepared for the future job market (Krueger,  2017 ). Critical thinking is one of"
Advantages of mixed-age free play in elementary.pdf,3,"the 6 C ’ s  –  collaboration, communication, critical thinking, creativity, content knowl- edge, and confidence  –  that are increasingly seen as essential to children ’ s future success (Trilling & Fadel,  2011 ). Many of these skills are not explicitly taught in the class- room, but can be learned as children engage in unstructured play (Hirsh-Pasek, Golinko ff , Berk, & Singer,  2009 ), especially with children of di ff erent ages. Vygotsky ( 1978 ) stressed the importance of the social environment and social interaction with others, particularly those who are more skilled, for children ’ s cognitive development. To him, play is a critical learning experience that shapes the mental processes and lays the foundations for children ’ s most successful functioning in years to come (Bodrova & Leong,  2007 )."
Advantages of mixed-age free play in elementary.pdf,3,"Mixed-age grouping, also known as multiage grouping, heterogeneous grouping, ver- tical grouping, family grouping, and ungraded classes, is the practice of placing children who are at least a year apart in age into the same group or class (Katz, Evangelou, & Hartman,  1990 , Pool, Bijleveld, & Tavecchio,  2000 ). Unlike the factory model, such grouping assumes that children vary in development and needs in ways not fully predict- able by age and that children can learn from those who are older and younger. Mixed- aged classrooms have been shown to be effective, as older children have opportunities to be leaders and teachers (Montessori,  1979 ), younger children can bene fi t from the modeling of older children (Kappler & Roellke,  2002 ), and teachers are able to provide di ff erentiated, developmentally-appropriate curriculum to the range of students (Kappler & Roellke,  2002 , Lloyd,  1999 ). Yet only a handful of studies (Gray,  2013 , 2017 , Stone,  2017 , Stone & Burriss,  2019 ) have speci fi cally explored the bene fi ts of mixed-age grouping in play, largely because of the continued practice of age segregation in classrooms and on playgrounds (Gray,  2013 ). An even smaller number of studies have examined multiage outdoor play (Beresin,  2010 , Brown & Taylor,  2008 , Gray,  2013 , Gray & Feldman,  2004 , Holmes,  2012 , Rouse,  2015 ), and this is the  fi rst study to speci fi cally examine Let Grow Play Club ."
Advantages of mixed-age free play in elementary.pdf,3,"This research is a single case study (Yin,  2018 ) of one U.S. public elementary school that places great value on recess and mixed-age groupings. A single case study inquiry relies on multiple sources of evidence to uncover phenomena in real-world situations. day per week for students in kindergarten to grade 5. Let Grow Play Club is a non- How to Raise Safe, Self-Reliant Children , to help families and communities bring unstruc- tured play back to schools and communities. Speci fi cally,  Let Grow Play Club  is a before- or after-school program where students can engage in free play in mixed-age groups out- doors. Tools for play are available (jump ropes, balls, cardboard boxes) and adults are there to oversee activities, but the stress is on children developing games and negotiating peer interactions without adult interference."
Advantages of mixed-age free play in elementary.pdf,3,"The school district located in New York, U.S.A. followed New York State Department of Education (NYSED) frameworks for social emotional learning (SEL). NYSED ’ s frame- work was established to maintain a safe and supportive school environment in order for students to develop social and emotional competencies. The superintendent also estab- lished standards for his school district that consisted of four components: Physical growth, Emotional growth, Academic growth, and Social Growth (PEAS). He believed"
